Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Monday,10:00 AM,Manatee (Intermediate),10:00 AM – 10:30 AM,4,6,2,6:1
Monday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,0,1,1,1:1
Monday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,0,1,1,1:1
Monday,10:45 AM,Clownfish (Beginner),10:45 AM – 11:15 AM,0,3,3,3:1
Monday,10:45 AM,Private 15-min,10:45 AM – 11:00 AM,0,1,1,1:1
Monday,11:00 AM,Clownfish (Beginner),11:00 AM – 11:30 AM,1,3,2,3:1
Monday,11:00 AM,Private 15-min,11:00 AM – 11:15 AM,1,1,0,1:1
Monday,11:15 AM,Private 15-min,11:15 AM – 11:30 AM,1,1,0,1:1
Monday,11:15 AM,Private 15-min,11:15 AM – 11:30 AM,0,1,1,1:1
Monday,11:30 AM,Seahorse (Beginner),11:30 AM – 12:00 PM,2,3,1,3:1
Monday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Monday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Monday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,0,1,1,1:1
Monday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,0,1,1,1:1
Monday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Monday,3:45 PM,Private 15-min,3:45 PM – 4:00 PM,0,1,1,1:1
Monday,3:45 PM,Private 15-min,3:45 PM – 4:00 PM,0,1,1,1:1
Monday,4:00 PM,Clownfish (Beginner),4:00 PM – 4:30 PM,0,3,3,3:1
Monday,4:00 PM,Stingray (Advanced),4:00 PM – 4:30 PM,0,4,4,4:1
Monday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,0,1,1,1:1
Monday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,0,1,1,1:1
Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Monday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,0,1,1,1:1
Monday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,0,1,1,1:1
Monday,4:30 PM,Clownfish (Beginner),4:30 PM – 5:00 PM,0,3,3,3:1
Monday,4:30 PM,Manatee (Intermediate),4:30 PM – 5:00 PM,0,6,0,6:1
Monday,4:30 PM,Seahorse (Beginner),4:30 PM – 5:00 PM,0,3,3,3:1
Monday,4:30 PM,Swordfish (Advanced),4:30 PM – 5:00 PM,0,4,4,4:1
Monday,4:30 PM,Tiger (Intermediate),4:30 PM – 5:00 PM,1,4,3,4:1
Monday,4:30 PM,Private 15-min,4:30 PM – 4:45 PM,0,1,1,1:1
Monday,4:30 PM,Private 15-min,4:30 PM – 4:45 PM,0,1,1,1:1
Monday,4:45 PM,Private 15-min,4:45 PM – 5:00 PM,0,1,1,1:1
Monday,4:45 PM,Private 15-min,4:45 PM – 5:00 PM,0,1,1,1:1
Monday,5:00 PM,Clownfish (Beginner),5:00 PM – 5:30 PM,0,3,3,3:1
Monday,5:00 PM,Swordfish (Advanced),5:00 PM – 5:30 PM,1,4,3,4:1
Monday,5:00 PM,Tiger (Intermediate),5:00 PM – 5:30 PM,0,4,4,4:1
Monday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Monday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Monday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Monday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,0,1,1,1:1
Monday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,0,1,1,1:1
Monday,5:30 PM,Barracuda (Advanced),5:30 PM – 6:00 PM,1,4,3,4:1
Monday,5:30 PM,Clownfish (Beginner),5:30 PM – 6:00 PM,0,3,3,3:1
Monday,5:30 PM,Starfish (Beginner),5:30 PM – 6:00 PM,0,6,6,6:1
Monday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Monday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Monday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Monday,5:45 PM,Private 15-min,5:45 PM – 6:00 PM,0,1,1,1:1
Monday,5:45 PM,Private 15-min,5:45 PM – 6:00 PM,0,1,1,1:1
Monday,6:00 PM,Clownfish (Beginner),6:00 PM – 6:30 PM,0,3,3,3:1
Monday,6:00 PM,Marlin (Intermediate),6:00 PM – 6:30 PM,1,4,3,4:1
Monday,6:00 PM,Stingray (Advanced),6:00 PM – 6:30 PM,0,4,4,4:1
Monday,6:00 PM,Tiger (Intermediate),6:00 PM – 6:30 PM,3,4,1,4:1
Monday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Monday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Monday,6:30 PM,Clownfish (Beginner),6:30 PM – 7:00 PM,0,3,3,3:1
Monday,6:30 PM,Starfish (Beginner),6:30 PM – 7:00 PM,3,6,3,6:1
Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,1,1,0,1:1
Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Monday,7:00 PM,Adult Private,7:00 PM – 7:30 PM,0,1,1,1:1
Monday,7:00 PM,Private 15-min,7:00 PM – 7:15 PM,0,1,1,1:1
Monday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,0,1,1,1:1
Monday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,0,1,1,1:1
Monday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,1,1,0,1:1
Monday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,0,1,1,1:1
Monday,7:30 PM,Adult Private,7:30 PM – 8:00 PM,0,1,1,1:1
Monday,7:30 PM,Private 30-min,7:30 PM – 8:00 PM,1,1,0,1:1
Monday,10:30 PM,Tiger (Intermediate),10:30 PM – 11:00 PM,4,4,0,4:1
Saturday,8:30 AM,Clownfish (Beginner),8:30 AM – 9:00 AM,1,3,2,3:1
Saturday,8:30 AM,Private 15-min,8:30 AM – 8:45 AM,0,1,1,1:1
Saturday,8:30 AM,Private 15-min,8:30 AM – 8:45 AM,0,1,1,1:1
Saturday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Saturday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Saturday,8:45 AM,Private 15-min,8:45 AM – 9:00 AM,0,1,1,1:1
Saturday,8:45 AM,Private 15-min,8:45 AM – 9:00 AM,1,1,0,1:1
Saturday,9:00 AM,Starfish (Beginner),9:00 AM – 9:30 AM,0,6,6,6:1
Saturday,9:00 AM,Private 15-min,9:00 AM – 9:15 AM,1,1,0,1:1
Saturday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Saturday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Saturday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Saturday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Saturday,9:15 AM,Clownfish (Beginner),9:15 AM – 9:45 AM,0,3,3,3:1
Saturday,9:30 AM,Clownfish (Beginner),9:30 AM – 10:00 AM,0,3,3,3:1
Saturday,9:30 AM,Manatee (Intermediate),9:30 AM – 10:00 AM,0,6,6,6:1
Saturday,9:30 AM,Private 15-min,9:30 AM – 9:45 AM,1,1,0,1:1
Saturday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Saturday,9:45 AM,Manatee (Intermediate),9:45 AM – 10:15 AM,0,6,6,6:1
Saturday,9:45 AM,Private 15-min,9:45 AM – 10:00 AM,0,1,1,1:1
Saturday,10:00 AM,Manatee (Intermediate),10:00 AM – 10:30 AM,0,6,6,6:1
Saturday,10:00 AM,Stingray (Advanced),10:00 AM – 10:30 AM,1,4,3,4:1
Saturday,10:00 AM,Tiger (Intermediate),10:00 AM – 10:30 AM,2,4,2,4:1
Saturday,10:00 AM,Private 15-min,10:00 AM – 10:15 AM,0,1,1,1:1
Saturday,10:00 AM,Private 15-min,10:00 AM – 10:15 AM,0,1,1,1:1
Saturday,10:15 AM,Clownfish (Beginner),10:15 AM – 10:45 AM,0,3,3,3:1
Saturday,10:15 AM,Private 15-min,10:15 AM – 10:30 AM,0,1,1,1:1
Saturday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,0,1,1,1:1
Saturday,10:30 AM,Starfish (Beginner),10:30 AM – 11:00 AM,0,6,6,6:1
Saturday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Saturday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Saturday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Saturday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Saturday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Saturday,11:00 AM,Clownfish (Beginner),11:00 AM – 11:30 AM,0,3,3,3:1
Saturday,11:00 AM,Manatee (Intermediate),11:00 AM – 11:30 AM,1,6,5,6:1
Saturday,11:00 AM,Private 15-min,11:00 AM – 11:15 AM,1,1,0,1:1
Saturday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Saturday,11:15 AM,Private 15-min,11:15 AM – 11:30 AM,0,1,1,1:1
Saturday,11:15 AM,Private 15-min,11:15 AM – 11:30 AM,1,1,0,1:1
Saturday,11:15 AM,Private 15-min,11:15 AM – 11:30 AM,0,1,1,1:1
Saturday,11:30 AM,Clownfish (Beginner),11:30 AM – 12:00 PM,1,3,2,3:1
Saturday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Saturday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Saturday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Saturday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Saturday,11:45 AM,Private 15-min,11:45 AM – 12:00 PM,0,1,1,1:1
Saturday,12:00 PM,Seahorse (Beginner),12:00 PM – 12:30 PM,3,3,0,3:1
Saturday,12:00 PM,Swordfish (Advanced),12:00 PM – 12:30 PM,2,4,2,4:1
Saturday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Saturday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Saturday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Saturday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Saturday,1:00 PM,Clownfish (Beginner),1:00 PM – 1:30 PM,3,3,0,3:1
Saturday,1:00 PM,Private 15-min,1:00 PM – 1:15 PM,0,1,1,1:1
Saturday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,0,1,1,1:1
Saturday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,1,1,0,1:1
Saturday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,1,1,0,1:1
Saturday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,0,1,1,1:1
Saturday,1:15 PM,Private 15-min,1:15 PM – 1:30 PM,0,1,1,1:1
Saturday,1:30 PM,Clownfish (Beginner),1:30 PM – 2:00 PM,2,3,1,3:1
Saturday,1:30 PM,Private 15-min,1:30 PM – 1:45 PM,1,1,0,1:1
Saturday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Saturday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Saturday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Saturday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Saturday,1:45 PM,Private 15-min,1:45 PM – 2:00 PM,1,1,0,1:1
Saturday,2:00 PM,Flying Fish (Competitive),2:00 PM – 2:30 PM,2,4,2,4:1
Saturday,2:00 PM,Marlin (Intermediate),2:00 PM – 2:30 PM,4,4,0,4:1
Saturday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Saturday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Saturday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Saturday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Sunday,8:30 AM,Clownfish (Beginner),8:30 AM – 9:00 AM,0,3,3,3:1
Sunday,8:30 AM,Starfish (Beginner),8:30 AM – 9:00 AM,2,6,4,6:1
Sunday,8:30 AM,Tiger (Intermediate),8:30 AM – 9:00 AM,3,4,1,4:1
Sunday,8:30 AM,Private 15-min,8:30 AM – 8:45 AM,0,1,1,1:1
Sunday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Sunday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,1,1,0,1:1
Sunday,8:45 AM,Manatee (Intermediate),8:45 AM – 9:15 AM,0,6,6,6:1
Sunday,9:00 AM,Clownfish (Beginner),9:00 AM – 9:30 AM,0,3,3,3:1
Sunday,9:00 AM,Seahorse (Beginner),9:00 AM – 9:30 AM,0,3,3,3:1
Sunday,9:00 AM,Starfish (Beginner),9:00 AM – 9:30 AM,0,6,6,6:1
Sunday,9:00 AM,Stingray (Advanced),9:00 AM – 9:30 AM,0,4,4,4:1
Sunday,9:00 AM,Private 15-min,9:00 AM – 9:15 AM,0,1,1,1:1
Sunday,9:00 AM,Private 15-min,9:00 AM – 9:15 AM,0,1,1,1:1
Sunday,9:15 AM,Private 15-min,9:15 AM – 9:30 AM,0,1,1,1:1
Sunday,9:15 AM,Private 15-min,9:15 AM – 9:30 AM,0,1,1,1:1
Sunday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Sunday,9:30 AM,Clownfish (Beginner),9:30 AM – 10:00 AM,2,3,1,3:1
Sunday,9:30 AM,Manatee (Intermediate),9:30 AM – 10:00 AM,0,6,6,6:1
Sunday,9:30 AM,Swordfish (Advanced),9:30 AM – 10:00 AM,2,4,2,4:1
Sunday,9:30 AM,Private 15-min,9:30 AM – 9:45 AM,0,1,1,1:1
Sunday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Sunday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Sunday,9:45 AM,Private 15-min,9:45 AM – 10:00 AM,0,1,1,1:1
Sunday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Sunday,10:00 AM,Manatee (Intermediate),10:00 AM – 10:30 AM,0,6,6,6:1
Sunday,10:00 AM,Marlin (Intermediate),10:00 AM – 10:30 AM,1,4,3,4:1
Sunday,10:00 AM,Swordfish (Advanced),10:00 AM – 10:30 AM,3,4,1,4:1
Sunday,10:00 AM,Private 15-min,10:00 AM – 10:15 AM,0,1,1,1:1
Sunday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Sunday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Sunday,10:15 AM,Private 15-min,10:15 AM – 10:30 AM,0,1,1,1:1
Sunday,10:15 AM,Private 15-min,10:15 AM – 10:30 AM,0,1,1,1:1
Sunday,10:30 AM,Clownfish (Beginner),10:30 AM – 11:00 AM,0,3,3,3:1
Sunday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,0,1,1,1:1
Sunday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Sunday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Sunday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Sunday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Sunday,10:30 AM,Private,10:30 AM – 11:00 AM,0,1,1,1:1
Sunday,10:45 AM,Private 15-min,10:45 AM – 11:00 AM,0,1,1,1:1
Sunday,11:00 AM,Clownfish (Beginner),11:00 AM – 11:30 AM,1,3,2,3:1
Sunday,11:00 AM,Starfish (Beginner),11:00 AM – 11:30 AM,1,6,5,6:1
Sunday,11:00 AM,Private 15-min,11:00 AM – 11:15 AM,0,1,1,1:1
Sunday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Sunday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Sunday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Sunday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Sunday,11:15 AM,Private 15-min,11:15 AM – 11:30 AM,0,1,1,1:1
Sunday,11:30 AM,Manatee (Intermediate),11:30 AM – 12:00 PM,1,6,5,6:1
Sunday,11:30 AM,Private 15-min,11:30 AM – 11:45 AM,0,1,1,1:1
Sunday,11:30 AM,Private 15-min,11:30 AM – 11:45 AM,1,1,0,1:1
Sunday,11:30 AM,Private 15-min,11:30 AM – 11:45 AM,0,1,1,1:1
Sunday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Sunday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Sunday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Sunday,11:45 AM,Private 15-min,11:45 AM – 12:00 PM,1,1,0,1:1
Sunday,11:45 AM,Private 15-min,11:45 AM – 12:00 PM,0,1,1,1:1
Sunday,11:45 AM,Private 15-min,11:45 AM – 12:00 PM,0,1,1,1:1
Sunday,12:00 PM,Clownfish (Beginner),12:00 PM – 12:30 PM,0,3,3,3:1
Sunday,12:00 PM,Seahorse (Beginner),12:00 PM – 12:30 PM,3,3,0,3:1
Sunday,12:00 PM,Stingray (Advanced),12:00 PM – 12:30 PM,1,4,3,4:1
Sunday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Sunday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Sunday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Sunday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Sunday,1:00 PM,Clownfish (Beginner),1:00 PM – 1:30 PM,0,3,3,3:1
Sunday,1:00 PM,Sailfish (Advanced),1:00 PM – 1:30 PM,1,4,3,4:1
Sunday,1:00 PM,Stingray (Advanced),1:00 PM – 1:30 PM,1,4,3,4:1
Sunday,1:00 PM,Tiger (Intermediate),1:00 PM – 1:30 PM,0,4,4,4:1
Sunday,1:00 PM,Private 15-min,1:00 PM – 1:15 PM,0,1,1,1:1
Sunday,1:00 PM,Private 15-min,1:00 PM – 1:15 PM,0,1,1,1:1
