Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Monday,2:45 PM,Private 30-min (KN Hold),2:45 PM – 3:15 PM,0,1,1,1:1
Monday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,0,1,1,1:1
Monday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Monday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Monday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Monday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Monday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Monday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Monday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,0,1,1,1:1
Monday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Monday,5:45 PM,Private 30-min,5:45 PM – 6:15 PM,0,1,1,1:1
Monday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Monday,6:15 PM,Private 30-min,6:15 PM – 6:45 PM,0,1,1,1:1
Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Monday,6:45 PM,Private 30-min,6:45 PM – 7:15 PM,1,1,0,1:1
Monday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,0,1,1,1:1
Saturday,8:00 AM,Private 30-min,8:00 AM – 8:30 AM,0,1,1,1:1
Saturday,8:15 AM,Private 30-min,8:15 AM – 8:45 AM,0,1,1,1:1
Saturday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Saturday,8:45 AM,Private 30-min,8:45 AM – 9:15 AM,0,1,1,1:1
Saturday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Saturday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Saturday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Saturday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Saturday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Saturday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,0,1,1,1:1
Saturday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Saturday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Saturday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Saturday,11:15 AM,Private 30-min,11:15 AM – 11:45 AM,0,1,1,1:1
Saturday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Saturday,11:45 AM,Private 30-min,11:45 AM – 12:15 PM,0,1,1,1:1
Saturday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Saturday,12:15 PM,Private 30-min,12:15 PM – 12:45 PM,1,1,0,1:1
Saturday,12:30 PM,Private 30-min,12:30 PM – 1:00 PM,0,1,1,1:1
Saturday,12:45 PM,Private 30-min,12:45 PM – 1:15 PM,0,1,1,1:1
Saturday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,0,1,1,1:1
Saturday,1:15 PM,Private 30-min,1:15 PM – 1:45 PM,0,1,1,1:1
Saturday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Saturday,1:45 PM,Private 30-min,1:45 PM – 2:15 PM,0,1,1,1:1
Saturday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Saturday,2:15 PM,Private 30-min,2:15 PM – 2:45 PM,0,1,1,1:1
Saturday,2:30 PM,Private 30-min,2:30 PM – 3:00 PM,0,1,1,1:1
Saturday,2:45 PM,Private 30-min,2:45 PM – 3:15 PM,0,1,1,1:1
Saturday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,1,1,0,1:1
Saturday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Saturday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Saturday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Saturday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Saturday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Saturday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Saturday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Saturday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
