Camp Name,Date Range,Days,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Clownfish,,Friday,5:00 PM,Clownfish (Beginner),5:00 PM – 5:30 PM,3,3,0,3:1
Dolphin,Starts 5/11/2026,Friday,5:00 PM,Dolphin (Intermediate),5:00 PM – 5:30 PM,4,4,0,4:1
Guppy,,Friday,5:00 PM,Guppy (Beginner),5:00 PM – 5:30 PM,2,3,1,3:1
Guppy,Starts 5/11/2026,Friday,5:00 PM,Guppy (Beginner),5:00 PM – 5:30 PM,3,3,0,3:1
Tiger,,Friday,5:00 PM,Tiger (Intermediate),5:00 PM – 5:30 PM,3,4,1,4:1
Private 15-min,,Friday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Private 30-min,,Friday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Private 30-min,,Friday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Private 15-min,,Friday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,1,1,0,1:1
Private 15-min,,Friday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,0,1,1,1:1
Dolphin,Starts 5/26/2026,Friday,5:30 PM,Dolphin (Intermediate),5:30 PM – 6:00 PM,3,4,1,4:1
Guppy,Starts 5/26/2026,Friday,5:30 PM,Guppy (Beginner),5:30 PM – 6:00 PM,2,3,1,3:1
Private 15-min,Starts 5/11/2026,Friday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 15-min,,Friday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 15-min,,Friday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 30-min,,Friday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
