Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Saturday,8:45 AM,Big 3 (B3),8:45 AM – 9:15 AM,3,4,1,4:1
Saturday,10:15 AM,Big 3 (B3),10:15 AM – 10:45 AM,4,4,0,4:1
Saturday,10:30 AM,Big 3 (B3),10:30 AM – 11:00 AM,2,4,2,4:1
Saturday,8:45 AM,Big 1 (B1),8:45 AM – 9:15 AM,2,3,1,3:1
Saturday,9:15 AM,Big 1 (B1),9:15 AM – 9:45 AM,1,3,2,3:1
Saturday,9:45 AM,Big 1 (B1),9:45 AM – 10:15 AM,3,3,0,3:1
Saturday,10:45 AM,Big 1 (B1),10:45 AM – 11:15 AM,1,3,2,3:1
Saturday,10:45 AM,Big 4 (B4),10:45 AM – 11:30 AM,1,6,5,6:1
Saturday,8:30 AM,Big 2 (B2),8:30 AM – 9:00 AM,1,4,3,4:1
Saturday,10:15 AM,Big 2 (B2),10:15 AM – 10:45 AM,2,4,2,4:1
Saturday,11:00 AM,Big 2 (B2),11:00 AM – 11:30 AM,3,4,1,4:1
Saturday,11:30 AM,Big 2 (B2),11:30 AM – 12:00 PM,4,4,0,4:1
Saturday,10:00 AM,10+2 (10+2),10:00 AM – 10:30 AM,4,4,0,4:1
Saturday,9:45 AM,10+1 (10+1),9:45 AM – 10:15 AM,2,4,2,4:1
Sunday,8:45 AM,Private Lesson (PV),8:45 AM – 9:15 AM,0,1,1,1:1
Monday,3:45 PM,Private Lesson (PV),3:45 PM – 4:15 PM,0,1,1,1:1
Monday,3:45 PM,Private Lesson (PV),3:45 PM – 4:15 PM,1,1,0,1:1
Monday,4:00 PM,Private Lesson (PV),4:00 PM – 4:30 PM,0,1,1,1:1
Monday,6:45 PM,Private Lesson (PV),6:45 PM – 7:15 PM,1,1,0,1:1
Monday,7:00 PM,Private Lesson (PV),7:00 PM – 7:30 PM,1,1,0,1:1
Monday,7:00 PM,Private Lesson (PV),7:00 PM – 7:30 PM,1,1,0,1:1
Tuesday,11:30 AM,Private Lesson (PV),11:30 AM – 12:00 PM,1,1,0,1:1
Tuesday,4:00 PM,Private Lesson (PV),4:00 PM – 4:30 PM,0,1,1,1:1
Tuesday,4:15 PM,Private Lesson (PV),4:15 PM – 4:45 PM,0,1,1,1:1
Tuesday,6:30 PM,Private Lesson (PV),6:30 PM – 7:00 PM,1,1,0,1:1
Wednesday,6:15 PM,Private Lesson (PV),6:15 PM – 6:45 PM,1,1,0,1:1
Thursday,6:00 PM,Private Lesson (PV),6:00 PM – 6:30 PM,0,1,1,1:1
Thursday,6:00 PM,Private Lesson (PV),6:00 PM – 6:30 PM,0,1,1,1:1
Saturday,11:15 AM,Private Lesson (PV),11:15 AM – 11:45 AM,1,1,0,1:1
Saturday,11:45 AM,Private Lesson (PV),11:45 AM – 12:15 PM,1,1,0,1:1
Saturday,12:00 PM,Private Lesson (PV),12:00 PM – 12:30 PM,0,1,1,1:1
